t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0031,0.484192,0.492275,0.508093,0.519809,0.483967,0.517618,0.496956,0.527221,0.461406,0.495466,0.480128,0.530521,0.456069,0.568238,0.539933,0.498592,0.478933,0.500916,0.537388,0.535297,0.523533,0.511637,0.51741,0.47343,0.919042,4.60213,0.949122,0.518269,0.517232,0.52683,0.50663,0.497307,0.490272,0.482768,0.505818,0.515389,0.489176,0.515867,0.482955,0.507123,0.478077,0.519496,0.485588,0.521483,0.562699,0.489709,0.501577,0.509752,0.50401,0.459609,0.0202279
0.0032,0.484197,0.491866,0.508771,0.519396,0.484204,0.51862,0.496634,0.526688,0.461814,0.495598,0.48063,0.530322,0.456285,0.56757,0.54084,0.498435,0.478872,0.501525,0.537317,0.534659,0.524765,0.510946,0.517674,0.475023,0.945025,4.54932,0.974616,0.519907,0.51731,0.5267,0.506659,0.497524,0.49041,0.483041,0.50533,0.515935,0.48911,0.515768,0.483388,0.507538,0.477678,0.519471,0.48627,0.521221,0.563381,0.489311,0.502029,0.509424,0.503954,0.459974,0.0202351
0.0033,0.484208,0.49146,0.509437,0.518981,0.484451,0.519621,0.496311,0.526143,0.462229,0.495734,0.481138,0.530096,0.456543,0.566864,0.541759,0.498273,0.478823,0.502136,0.537238,0.534018,0.526002,0.510255,0.517935,0.476749,0.971484,4.49531,1.00057,0.521689,0.517379,0.526566,0.506688,0.49774,0.49056,0.483314,0.504848,0.516456,0.48906,0.515661,0.48383,0.507939,0.4773,0.519423,0.48697,0.520963,0.56404,0.488924,0.50248,0.509099,0.503886,0.460349,0.0202429
0.0034,0.484222,0.491057,0.510092,0.518564,0.484706,0.520623,0.495989,0.525589,0.462653,0.495874,0.481651,0.529845,0.456845,0.56612,0.542688,0.498104,0.478786,0.502748,0.537154,0.533372,0.527243,0.509563,0.518195,0.478613,0.998388,4.44014,1.02695,0.523621,0.51744,0.526427,0.506717,0.497954,0.490723,0.483587,0.504373,0.516952,0.489025,0.515548,0.48428,0.508329,0.476945,0.51935,0.487688,0.52071,0.564675,0.488551,0.502928,0.508777,0.503807,0.460733,0.020215
0.0035,0.484241,0.490656,0.510734,0.518148,0.48497,0.521623,0.495666,0.525024,0.463085,0.496019,0.482168,0.529568,0.457188,0.565341,0.543628,0.497929,0.47876,0.503361,0.537063,0.532724,0.528486,0.508872,0.518453,0.480621,1.02571,4.38388,1.05373,0.525709,0.517492,0.526284,0.506747,0.498165,0.490898,0.48386,0.503905,0.517422,0.489006,0.515428,0.484739,0.508705,0.476612,0.519253,0.488423,0.520462,0.565286,0.488191,0.503375,0.50846,0.503716,0.461126,0.020231
0.0036,0.484264,0.49026,0.511362,0.517732,0.485242,0.522623,0.495344,0.524449,0.463524,0.496167,0.482691,0.529266,0.457573,0.564527,0.544577,0.49775,0.478746,0.503974,0.536965,0.532073,0.52973,0.508182,0.51871,0.482781,1.05341,4.32656,1.08088,0.52796,0.517537,0.526137,0.506778,0.498373,0.491085,0.484132,0.503445,0.517867,0.489003,0.515302,0.485205,0.509069,0.476302,0.519132,0.489175,0.520219,0.565872,0.487845,0.503818,0.508147,0.503613,0.461529,0.020252
0.0037,0.484291,0.489868,0.511975,0.517317,0.485522,0.52362,0.495021,0.523866,0.463971,0.496321,0.483217,0.528939,0.457998,0.563679,0.545534,0.497566,0.478744,0.504588,0.536861,0.531422,0.530974,0.507494,0.518966,0.485098,1.08147,4.26823,1.10836,0.530381,0.517575,0.525987,0.506809,0.498579,0.491285,0.484403,0.502992,0.518284,0.489017,0.51517,0.485678,0.50942,0.476015,0.518988,0.489944,0.519982,0.566434,0.487513,0.504259,0.507838,0.503499,0.461941,0.0202539
0.0038,0.484322,0.48948,0.512573,0.516904,0.48581,0.524616,0.494699,0.523273,0.464424,0.496479,0.483747,0.528588,0.458464,0.562799,0.546498,0.497378,0.478755,0.505202,0.536751,0.530769,0.532218,0.506809,0.519223,0.487579,1.10984,4.20895,1.13614,0.532978,0.517606,0.525832,0.506841,0.498782,0.491497,0.484673,0.502549,0.518675,0.489046,0.515032,0.486158,0.509757,0.475751,0.518821,0.490728,0.519752,0.56697,0.487195,0.504696,0.507535,0.503373,0.462362,0.0202689
0.0039,0.484356,0.489098,0.513155,0.516495,0.486105,0.52561,0.494378,0.522672,0.464883,0.496642,0.48428,0.528214,0.458969,0.561886,0.547467,0.497186,0.478777,0.505815,0.536634,0.530116,0.53346,0.506128,0.51948,0.49023,1.1385,4.14876,1.16419,0.535759,0.517632,0.525674,0.506874,0.498982,0.491721,0.484942,0.502115,0.519038,0.489092,0.514889,0.486645,0.510082,0.47551,0.518631,0.491527,0.519529,0.567481,0.486891,0.505128,0.507238,0.503234,0.462792,0.0202279
0.004,0.484394,0.488722,0.513719,0.516089,0.486408,0.526601,0.494057,0.522063,0.465349,0.496811,0.484815,0.527817,0.459512,0.560943,0.548442,0.496991,0.478812,0.506426,0.536512,0.529465,0.534698,0.505451,0.519739,0.493056,1.16742,4.08772,1.19248,0.53873,0.517652,0.525512,0.506907,0.49918,0.491957,0.485209,0.501691,0.519374,0.489154,0.514741,0.487139,0.510392,0.475293,0.518419,0.492341,0.519313,0.567966,0.486602,0.505557,0.506947,0.503084,0.463231,0.0202332
